N,X,Y,Z
ROHTOMANAUTO266,706531.261100000003353,3577987.556599999777973,2499.613600000000133
ROHTOMANAUTO265,706535.592999999993481,3578087.499900000169873,2495.623999999999796
ROHTOMANAUTO264,706508.299699999974109,3578184.753099999856204,2493.032299999999850
ROHTOMANAUTO263,706515.004199999966659,3578284.941600000020117,2495.682600000000093
ROHTOMANAUTO262,706438.660299999988638,3578352.119299999903888,2512.535600000000159
ROHTOMANAUTO261,706331.705599999986589,3578339.600099999923259,2531.563799999999901
ROHTOMANAUTO260,706433.053100000019185,3578382.429399999789894,2533.191600000000108
ROHTOMANAUTO259,706450.191699999966659,3578491.269100000150502,2540.734800000000178
ROHTOMANAUTO258,706483.147299999953248,3578596.562500000000000,2543.954999999999927
ROHTOMANAUTO257,706546.831699999980628,3578689.914599999785423,2559.188900000000103
ROHTOMANAUTO256,706603.695999999996275,3578778.198499999940395,2566.076799999999821
ROHTOMANAUTO255,706606.460899999947287,3578885.585800000000745,2573.386399999999867
ROHTOMANAUTO254,706876.933300000033341,3579070.359300000127405,2659.979299999999967
ROHTOMANAUTO253,706890.924800000037067,3578963.745099999941885,2664.278999999999996
ROHTOMANAUTO252,706907.823699999949895,3579068.175400000065565,2670.508499999999913
ROHTOMANAUTO251,706917.542999999946915,3579177.432399999815971,2679.053100000000086
ROHTOMANAUTO250,706934.615600000019185,3579286.509899999946356,2680.413300000000163
ROHTOMANAUTO249,706968.352300000027753,3579390.072499999776483,2694.449399999999969
ROHTOMANAUTO248,707068.003499999991618,3579407.642599999904633,2704.615299999999934
ROHTOMANAUTO247,706994.040200000046752,3579333.237600000109524,2708.175299999999879
ROHTOMANAUTO246,706974.775799999944866,3579223.147599999792874,2712.286200000000008
ROHTOMANAUTO245,706988.762699999962933,3579114.784200000111014,2718.527300000000196
ROHTOMANAUTO244,707001.429000000003725,3579223.463500000070781,2723.437899999999900
ROHTOMANAUTO243,707055.673799999989569,3579308.732100000139326,2751.636599999999817
ROHTOMANAUTO242,707070.414600000018254,3579209.227700000163168,2749.945400000000063
ROHTOMANAUTO241,707138.686699999962002,3579284.523899999912828,2754.839500000000044
ROHTOMANAUTO240,707233.537800000049174,3579323.617500000167638,2756.983000000000175
ROHTOMANAUTO239,707314.360499999951571,3579388.794000000227243,2765.786099999999806
ROHTOMANAUTO236,707437.418300000019372,3579264.044400000013411,2786.722699999999804
ROHTOMANAUTO235,707336.682299999985844,3579229.832899999804795,2792.807800000000043
ROHTOMANAUTO234,707311.246200000052340,3579124.794400000013411,2797.787499999999909
ROHTOMANAUTO233,707229.306300000054762,3579055.046000000089407,2803.105300000000170
ROHTOMANAUTO232,707173.567700000014156,3578964.742800000123680,2805.562300000000050
ROHTOMANAUTO231,707147.639899999951012,3578861.643499999772757,2808.856600000000071
ROHTOMANAUTO230,707133.974099999992177,3578758.081199999898672,2818.111199999999826
ROHTOMANAUTO229,707169.797000000020489,3578662.733000000007451,2834.468199999999797
ROHTOMANAUTO228,707237.960599999991246,3578588.186699999962002,2824.738899999999830
ROHTOMANAUTO227,707255.096699999994598,3578486.255200000014156,2827.887400000000071
ROHTOMANAUTO226,707223.083800000022165,3578385.943700000178069,2835.752500000000055
ROHTOMANAUTO225,707281.998000000021420,3578471.128099999856204,2841.796200000000226
ROHTOMANAUTO224,707329.782600000035018,3578569.844099999871105,2848.401699999999892
ROHTOMANAUTO223,707356.165799999958836,3578674.173899999819696,2847.422399999999925
ROHTOMANAUTO222,707396.317099999985658,3578778.351699999999255,2857.898299999999836
ROHTOMANAUTO221,707451.702200000057928,3578873.521499999798834,2859.077200000000175
ROHTOMANAUTO220,707521.741700000013225,3578949.897100000176579,2863.524899999999889
ROHTOMANAUTO219,707606.289600000018254,3579007.847300000023097,2867.661500000000160
ROHTOMANAUTO217,707614.565700000035577,3578990.581300000194460,2881.547300000000178
ROHTOMANAUTO216,707537.748900000005960,3578911.228099999949336,2882.103999999999814
ROHTOMANAUTO215,707490.937999999965541,3578822.576900000218302,2883.484199999999873
ROHTOMANAUTO214,707469.934400000027381,3578722.880200000014156,2885.215999999999894
ROHTOMANAUTO213,707464.755600000033155,3578615.313200000207871,2886.683300000000145
