CWindow CThreshold FWindow Mean_FSD(cm) SD_FSD(cm) Mean_SWE(mm) SD_SWE(mm)
(3,3) 0 (65,65) 19.35977 0.13097179 12.583851 0.08513162
CWindow CThreshold FWindow Mean_FSD(cm) SD_FSD(cm) Mean_SWE(mm) SD_SWE(mm)
(3,3) 0 (65,65) 19.096481 0.11767755 13.3675375 0.08237441
CWindow CThreshold FWindow Mean_FSD(cm) SD_FSD(cm) Mean_SWE(mm) SD_SWE(mm)
(3,3) 0 (65,65) 19.019447 0.105427735 13.313612 0.07379969
CWindow CThreshold FWindow Mean_FSD(cm) SD_FSD(cm) Mean_SWE(mm) SD_SWE(mm)
(3,3) 0 (65,65) 18.925362 0.095285006 13.247753 0.066699736
CWindow CThreshold FWindow Mean_FSD(cm) SD_FSD(cm) Mean_SWE(mm) SD_SWE(mm)
CWindow CThreshold FWindow Mean_FSD(cm) SD_FSD(cm) Mean_SWE(mm) SD_SWE(mm)
(3,3) 0 (65,65) 18.925362 0.095285006 13.247753 0.066699736
CWindow CThreshold FWindow Mean_FSD(cm) SD_FSD(cm) Mean_SWE(mm) SD_SWE(mm)
(3,3) 0.6 (3,3) 17.102484 4.3329372 11.971737 3.0330558
